[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:07.781+0000] {tiki_extract_dag.py:151} INFO - Skipped product 72790514 due to duplicate
[2025-03-10T01:39:07.782+0000] {tiki_extract_dag.py:151} INFO - Skipped product 68832828 due to duplicate
[2025-03-10T01:39:07.782+0000] {tiki_extract_dag.py:151} INFO - Skipped product 56218973 due to duplicate
[2025-03-10T01:39:07.783+0000] {tiki_extract_dag.py:151} INFO - Skipped product 54865932 due to duplicate
[2025-03-10T01:39:07.783+0000] {tiki_extract_dag.py:151} INFO - Skipped product 54058503 due to duplicate
[2025-03-10T01:39:07.784+0000] {tiki_extract_dag.py:151} INFO - Skipped product 52758862 due to duplicate
[2025-03-10T01:39:07.784+0000] {tiki_extract_dag.py:151} INFO - Skipped product 35031098 due to duplicate
[2025-03-10T01:39:07.785+0000] {tiki_extract_dag.py:151} INFO - Skipped product 33785195 due to duplicate
[2025-03-10T01:39:07.785+0000] {tiki_extract_dag.py:151} INFO - Skipped product 33597687 due to duplicate
[2025-03-10T01:39:07.786+0000] {tiki_extract_dag.py:151} INFO - Skipped product 25917926 due to duplicate
[2025-03-10T01:39:07.786+0000] {tiki_extract_dag.py:151} INFO - Skipped product 11949005 due to duplicate
[2025-03-10T01:39:07.786+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10278713 due to duplicate
[2025-03-10T01:39:07.787+0000] {tiki_extract_dag.py:151} INFO - Skipped product 3265121 due to duplicate
[2025-03-10T01:39:07.787+0000] {tiki_extract_dag.py:151} INFO - Skipped product 2042221 due to duplicate
[2025-03-10T01:39:07.788+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1687625 due to duplicate
[2025-03-10T01:39:07.789+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1081764 due to duplicate
[2025-03-10T01:39:07.789+0000] {tiki_extract_dag.py:151} INFO - Skipped product 631525 due to duplicate
[2025-03-10T01:39:07.790+0000] {tiki_extract_dag.py:151} INFO - Skipped product 631496 due to duplicate
[2025-03-10T01:39:07.790+0000] {tiki_extract_dag.py:151} INFO - Skipped product 631034 due to duplicate
[2025-03-10T01:39:07.791+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385615 due to duplicate
[2025-03-10T01:39:07.791+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385614 due to duplicate
[2025-03-10T01:39:07.792+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385574 due to duplicate
[2025-03-10T01:39:07.792+0000] {tiki_extract_dag.py:154} INFO - Extracted page 2 - lam-dep-suc-khoe, 40 items, total extracted: 0
[2025-03-10T01:39:10.774+0000] {tiki_extract_dag.py:151} INFO - Skipped product 274948742 due to duplicate
[2025-03-10T01:39:10.775+0000] {tiki_extract_dag.py:151} INFO - Skipped product 215539080 due to duplicate
[2025-03-10T01:39:10.775+0000] {tiki_extract_dag.py:151} INFO - Skipped product 212219580 due to duplicate
[2025-03-10T01:39:10.776+0000] {tiki_extract_dag.py:151} INFO - Skipped product 199009119 due to duplicate
[2025-03-10T01:39:10.777+0000] {tiki_extract_dag.py:151} INFO - Skipped product 197922834 due to duplicate
[2025-03-10T01:39:10.777+0000] {tiki_extract_dag.py:151} INFO - Skipped product 197920686 due to duplicate
[2025-03-10T01:39:10.778+0000] {tiki_extract_dag.py:151} INFO - Skipped product 197378660 due to duplicate
[2025-03-10T01:39:10.778+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186288869 due to duplicate
[2025-03-10T01:39:10.779+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186270101 due to duplicate
[2025-03-10T01:39:10.779+0000] {tiki_extract_dag.py:151} INFO - Skipped product 176756454 due to duplicate
[2025-03-10T01:39:10.780+0000] {tiki_extract_dag.py:151} INFO - Skipped product 170491702 due to duplicate
[2025-03-10T01:39:10.781+0000] {tiki_extract_dag.py:151} INFO - Skipped product 149460253 due to duplicate
