[2025-03-07T22:25:34.809+0000] {crawl_data.py:111} INFO - Extracted page 26 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:36.764+0000] {crawl_data.py:111} INFO - Extracted page 27 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:38.923+0000] {crawl_data.py:111} INFO - Extracted page 28 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:41.490+0000] {crawl_data.py:111} INFO - Extracted page 29 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:43.665+0000] {crawl_data.py:111} INFO - Extracted page 30 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:46.519+0000] {crawl_data.py:111} INFO - Extracted page 31 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:49.632+0000] {crawl_data.py:111} INFO - Extracted page 32 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:52.375+0000] {crawl_data.py:111} INFO - Extracted page 33 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:55.285+0000] {crawl_data.py:111} INFO - Extracted page 34 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:57.469+0000] {crawl_data.py:111} INFO - Extracted page 35 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:00.321+0000] {crawl_data.py:111} INFO - Extracted page 36 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:03.155+0000] {crawl_data.py:111} INFO - Extracted page 37 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:05.073+0000] {crawl_data.py:111} INFO - Extracted page 38 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:07.765+0000] {crawl_data.py:111} INFO - Extracted page 39 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:09.228+0000] {crawl_data.py:111} INFO - Extracted page 40 - dien-thoai-may-tinh-bang
[2025-03-07T22:26:12.451+0000] {crawl_data.py:111} INFO - Extracted page 1 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:15.138+0000] {crawl_data.py:111} INFO - Extracted page 2 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:18.233+0000] {crawl_data.py:111} INFO - Extracted page 3 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:19.771+0000] {crawl_data.py:111} INFO - Extracted page 4 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:21.430+0000] {crawl_data.py:111} INFO - Extracted page 5 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:23.063+0000] {crawl_data.py:111} INFO - Extracted page 6 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:25.485+0000] {crawl_data.py:111} INFO - Extracted page 7 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:28.157+0000] {crawl_data.py:111} INFO - Extracted page 8 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:30.204+0000] {crawl_data.py:111} INFO - Extracted page 9 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:33.104+0000] {crawl_data.py:111} INFO - Extracted page 10 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:34.422+0000] {crawl_data.py:111} INFO - Extracted page 11 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:37.555+0000] {crawl_data.py:111} INFO - Extracted page 12 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:40.439+0000] {crawl_data.py:111} INFO - Extracted page 13 - laptop-may-vi-tinh-linh-kien
